X,Y,OBJECTID,ID,STATUS,REASON,ROAD,DESCRIPTION,SUBURB,UPDATETIME,TMR,LOCATION,SOURCE,GlobalID
152.957871909605075,-27.126474917030521,14,CAB_065,Open,Flooded,Lindsay Road,near Anderson Road,MORAYFIELD,2020-02-26T05:00:00.000Z,no,Lindsay Road,DWCP,f7d1d2fa-6d10-4ad4-b4f6-0a788d73e18b
152.927882544973528,-27.089775711287846,15,CAB_080,Open,Flooded,River Drive,at Bellmere Road,BELLMERE,2020-02-26T05:00:00.000Z,no,River Drive,DWCP,36eb0ab0-a3eb-4e66-87bd-9d5f2b8d49bc
152.977657539994709,-27.225994125316728,16,HAY_025,Open,Flooded,Alma Road,between Thompson Road & Marsden Road,DAKABIN,2020-02-26T05:00:00.000Z,no,Alma Road,DWCP,ae436cf5-7215-4a78-a493-e2eafbcbf127
152.90201708709651,-27.10718997271794,17,CAB_022,Open,Flooded,Tinney Road,at Caboolture River Road,UPPER CABOOLTURE,2020-02-26T05:00:00.000Z,no,Tinney Road,DWCP,2ff4528d-163d-401c-a689-a42e1f987353
153.033169236607449,-27.038231595765243,18,PUM_002,Open,Flooded,Hume Road,near Bonney Road,TOORBUL,2020-02-26T05:00:00.000Z,no,Hume Road,DWCP,5a995fe4-5cc0-45bd-a03d-957488f69ef3
152.808190668869372,-27.335591808750504,19,LPR_047,Open,Flooded,Kirk Road, ,CEDAR CREEK,2020-02-26T05:00:00.000Z,no,Kirk Road,DWCP,083bcc6c-8483-41bc-a9b3-ec1b747f91d9
152.986488050204514,-27.157931517352182,20,BUR_014,Open,Flooded,Old Bay Road,at Childs Drive,BURPENGARY EAST,2020-02-26T05:00:00.000Z,no,Old Bay Road,DWCP,3556d1b0-7464-42c4-91dc-82938f3e6ca2
152.86801824400959,-27.085049316836688,21,CAB_090,Open,Flooded,Jackson Road,at Bellmere Road end,BELLMERE,2020-02-26T05:00:00.000Z,no,Jackson Road,DWCP,f4bb503e-69ab-44a5-8e85-92a30558ec05
152.906262618554024,-27.225334739834711,22,SID_017,Open,Flooded,Shea Road,,KURWONGBAH,2020-02-26T05:00:00.000Z,no,Shea Road,DWCP,49c6007d-bb49-4390-9053-b4296c0bfa5a
152.849243639624433,-27.056750912527495,23,CAB_054,Open,Flooded,W Lindsay Road,at Nicholson Road,WAMURAN,2020-02-26T05:00:00.000Z,no,W Lindsay Road,DWCP,1c62f414-e55c-4292-acde-f9ad793cf866
152.969697617669567,-27.206591062592622,24,HAY_008,Open,Flooded,McPhail Road,at Hall Road,NARANGBA,2020-02-26T05:00:00.000Z,no,McPhail Road,DWCP,a1096054-2269-4dff-90e1-c880cc71e69e
153.017228252801686,-27.179319229045095,25,BUR_011,Open,Flooded,Thompson Street, ,DECEPTION BAY,2020-02-26T05:00:00.000Z,no,Thompson Street,DWCP,5ac30f51-f1c5-4522-a361-4eeb934f7b7a
152.985014429557936,-27.227050878667441,26,HAY_001,Open,Flooded,Alma Road,between Gunsynd Drive and Old Gympie Road,DAKABIN,2020-02-26T05:00:00.000Z,no,"Alma Road between Gunsynd Drive and Old Gympie Road, DAKABIN",DWCP,7e318147-914d-463d-b495-4a3e3d9f7835
152.942540510873101,-27.071264019788092,27,CAB_091,Open,Flooded,Tomlinson Road,,CABOOLTURE,2020-02-26T05:00:00.000Z,no,Tomlinson Road,DWCP,24e9d401-8586-4c1e-a024-dcda799756ba
153.001650882768558,-27.231420336983128,28,HAY_022,Open,Flooded,Kerr Road,,DAKABIN,2020-02-26T05:00:00.000Z,no,"Kerr Road, DAKABIN",DWCP,32d76721-1b97-49d9-a947-1531c1057012
153.011018714875604,-27.268860811479524,29,HAY_004,Open,Flooded,Dohles Rocks Road,near Castle Hill Drive,MURRUMBA DOWNS,2020-02-26T05:00:00.000Z,no,"Dohles Rocks Road near Castle Hill Drive, MURRUMBA DOWNS",DWCP,e51c02f1-68d2-4b33-b3eb-3694696273e3
152.992591034463288,-27.302246747717319,30,LPR_008,Open,Flooded,Harvey Street,at Coorabin Street,STRATHPINE,2020-02-26T05:00:00.000Z,no,Harvey Street,DWCP,50a1bcb1-87f0-445e-b033-e07d31552644
152.820784547892799,-27.335757704536622,31,LPR_010,Open,Flooded,Morrison Road, ,CEDAR CREEK,2020-02-26T05:00:00.000Z,no,"Morrison Road, CEDAR CREEK",DWCP,89ec0c95-f8e0-40a1-a23a-abbace45f506
152.96049776243575,-27.166259458773443,32,BUR_024,Open,Flooded,Fernando Street,at Mirra Street,BURPENGARY,2020-02-26T05:00:00.000Z,no,"Fernando Street at Mirra Street, BURPENGARY",DWCP,f5358b48-635f-42ff-8e1d-bdbb54855ce6
152.866815290249718,-27.329108572274141,33,LPR_013,Open,Flooded,Mount Samson Road,at Cedar Creek Road,CLOSEBURN,2020-02-26T05:00:00.000Z,no,"Mount Samson Road at Cedar Creek Road, CLOSEBURN",DWCP,782d441f-3364-480d-a9fe-95fdb564fa4a
152.942622766908727,-27.154049580009026,34,BUR_026,Open,Flooded,Hauton Road,at Garden Drive,BURPENGARY,2020-02-26T05:00:00.000Z,no,"Hauton Road at Garden Drive, BURPENGARY",DWCP,1d6ee3fe-8dbc-4c24-94ff-7f81fb29a668
152.943510522496638,-27.317222116332974,35,LPR_021,Open,Flooded,Tattler  Street,at Starling Street,WARNER,2020-02-26T05:00:00.000Z,no,"Tattler  Street at Starling Street, WARNER",DWCP,123a547f-abc7-420a-ab63-05cfb43c13c9
152.940713056412477,-27.279818292689935,36,LPR_026,Open,Flooded,Gordons Crossing Road, ,JOYNER,2020-02-26T05:00:00.000Z,no,"Gordons Crossing Road, JOYNER",DWCP,ae97f610-0e49-4619-8141-0e341db9092d
152.97313138382566,-27.263549147951714,37,LPR_031,Open,Flooded,Woonara Drive, ,PETRIE,2020-02-26T05:00:00.000Z,no,"Woonara Drive, PETRIE",DWCP,bd5394ae-c9e7-4492-a09d-1a4245e48097
152.860640623126216,-27.386192701461013,38,LPR_036,Open,Flooded,Days Road,near Wights Mountain Road,SAMFORD VALLEY,2020-02-26T05:00:00.000Z,no,"Days Road near Wights Mountain Road, SAMFORD VALLEY",DWCP,9fad2f12-0bf6-40f7-93f4-b813c16b4185
152.950603446605157,-27.283271209697141,39,LPR_046,Open,Flooded,Youngs Crossing Road,at Gordons Crossing Road East,JOYNER,2020-02-26T05:00:00.000Z,no,"Youngs Crossing Road at Gordons Crossing Road East, JOYNER",DWCP,5d4ae15d-7348-4b62-8596-9cb584b36ac2
152.819974082453712,-27.168559057779856,40,UPR_003,Open,Flooded,Glengariff Way, ,KING SCRUB,2020-02-26T05:00:00.000Z,no,"Glengariff Way, KING SCRUB",DWCP,80bda734-d1e0-4b1e-b589-eb823dd0789f
152.833697223739307,-27.185716892958379,41,UPR_006,Open,Flooded,Fingerboard Road,near Royston street,KING SCRUB,2020-02-26T05:00:00.000Z,no,Fingerboard Road,DWCP,8cb89d2f-b4f7-4ce6-a5f1-fbf54c9df022
152.838750579589089,-27.309898151931339,42,UPR_008,Open,Flooded,Foggs Road,near Greenmount Court,MOUNT SAMSON,2020-02-26T05:00:00.000Z,no,"Foggs Road near Greenmount Court, MOUNT SAMSON",DWCP,48cd6d1e-281c-4bdc-8cfa-198d8652aebb
152.823787434427999,-27.195508008709872,43,UPR_009,Open,Flooded,Heathwood Street, ,DAYBORO,2020-02-26T05:00:00.000Z,no,"Heathwood Street, DAYBORO",DWCP,f5c3ae71-695f-4926-9a13-2571583977f8
152.754605810930371,-27.144698937613875,44,UPR_014,Open,Flooded,Mount Brisbane Road,near Cripps Road,MOUNT PLEASANT,2020-02-26T05:00:00.000Z,no,"Mount Brisbane Road near Cripps Road, MOUNT PLEASANT",DWCP,fa07c88e-4220-422c-8861-45f3e1a72e25
152.969462735172215,-27.231009977089659,45,SID_002,Open,Flooded,Lakeside Road,at Nundah Road,KURWONGBAH,2020-02-26T05:00:00.000Z,no,"Lakeside Road at Nundah Road, KURWONGBAH",DWCP,b771867c-8a8c-4933-9c58-89c4a40081ec
152.758222117447275,-27.169153603791461,46,UPR_016,Open,Flooded,Stratton Road,near Palm Creek Road,MOUNT PLEASANT,2020-02-26T05:00:00.000Z,no,"Stratton Road near Palm Creek Road, MOUNT PLEASANT",DWCP,6d6533da-a638-4b90-b94e-d75f240e71bb
152.900935561308614,-27.204428446847313,47,SID_004,Open,Flooded,Neilson Road,near Thedore Road,KURWONGBAH,2020-02-26T05:00:00.000Z,no,"Neilson Road near Thedore Road, KURWONGBAH",DWCP,478da71d-5316-4a17-bfbc-678e30572cb3
152.902843642260876,-27.186016806752971,48,SID_005,Open,Flooded,Roberts Road,near Raynbird Road,NARANGBA,2020-02-26T05:00:00.000Z,no,"Roberts Road near Raynbird Road, NARANGBA",DWCP,65fa42be-02ad-4392-a907-0382ea329322
152.940456495770718,-27.25062269830358,49,SID_006,Open,Flooded,Scout Road,near Dayboro Road,KURWONGBAH,2020-02-26T05:00:00.000Z,no,"Scout Road near Dayboro Road, KURWONGBAH",DWCP,f81100f3-02ae-4bca-80df-c5119c511814
152.96380836148154,-27.251008258512659,50,SID_008,Open,Flooded,Torrens Road, ,KURWONGBAH,2020-02-26T05:00:00.000Z,no,Torrens Road,DWCP,12c108bf-d9ff-45c6-9c6b-29b488bf2f66
152.823556891691766,-27.196572031283626,51,UPR_018,Open,Flooded,Williams Street,near McKenzie Street,DAYBORO,2020-02-26T05:00:00.000Z,no,Williams Street,DWCP,1b2fe9a3-ccaa-4c85-b986-ee35fda4cff1
152.957734772793856,-27.200571626952954,52,SID_011,Open,Flooded,Main Street, ,NARANGBA,2020-02-26T05:00:00.000Z,no,"Main Street, NARANGBA",DWCP,611bf832-7b1e-4d47-8249-3714b218a804
152.783796893074651,-27.157569292950225,53,UPR_022,Open,Flooded,Mount Pleasant Road,near Henzell Road,MOUNT PLEASANT,2020-02-26T05:00:00.000Z,no,"Mount Pleasant Road near Henzell Road, MOUNT PLEASANT",DWCP,7e81ac51-bd0a-4b1d-81aa-ddc86a69c339
152.824677971200032,-27.162831107024761,54,UPR_024,Open,Flooded,Ocean View Road, ,KING SCRUB,2020-02-26T05:00:00.000Z,no,"Ocean View Road, KING SCRUB",DWCP,f75808a4-8a2c-4641-a9bd-98bdca186fe7
152.772244598945093,-27.16057336551987,55,UPR_025,Open,Flooded,Stratton Road,at Mount Brisbane Road,MOUNT PLEASANT,2020-02-26T05:00:00.000Z,no,"Stratton Road at Mount Brisbane Road, MOUNT PLEASANT",DWCP,179836e5-f302-48b9-ac99-b4f75d821d78
152.774944861027251,-27.160539360254464,56,UPR_026,Open,Flooded,Mount Brisbane Road,at Stratton Road,MOUNT PLEASANT,2020-02-26T05:00:00.000Z,no,Mount Brisbane Road,DWCP,d125174f-c12a-480f-852a-f661ac5f223f
152.763594163220517,-27.144028887377569,57,UPR_027,Open,Flooded,Courts Lane, ,MOUNT PLEASANT,2020-02-26T05:00:00.000Z,no,"Courts Lane, MOUNT PLEASANT",DWCP,6179896f-9005-4d61-9ec5-3210819bc15d
152.749245873548801,-27.198009466961942,58,UPR_031,Open,Flooded,Laceys Creek Road,near Costelloe Road,LACEYS CREEK,2020-02-26T05:00:00.000Z,no,"Laceys Creek Road near Costelloe Road, LACEYS CREEK",DWCP,a19efb7a-d614-4e57-b184-57ff06593003
152.8101098188626,-26.855335087087923,59,STA_008,Open,Flooded,Doyle Road,near Cedarton Drive,CEDARTON,2020-02-26T05:00:00.000Z,no,"Doyle Road near Cedarton Drive, CEDARTON",DWCP,0c44ed51-159c-440f-90d7-0067089d42dd
152.741505119491649,-27.216874833824384,60,UPR_011,Open,Flooded,Laceys Creek Road,at Inglis Court,LACEYS CREEK,2020-02-26T05:00:00.000Z,no,"Laceys Creek Road at Inglis Court, LACEYS CREEK",DWCP,1045dac2-ce04-4abd-827c-01490a55038b
152.743000302400077,-27.207557341556303,61,UPR_033,Open,Flooded,Wirth Road,at Esplanade,LACEYS CREEK,2020-02-26T05:00:00.000Z,no,"Wirth Road at Esplanade, LACEYS CREEK",DWCP,deb72086-377e-4f06-8a86-2453b29a6d97
152.962948725856847,-27.053055078423867,62,CAB_071,Open,Flooded,Pumicestone Road,at King Johns Creek,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"Pumicestone Road at King Johns Creek, CABOOLTURE",DWCP,3a577023-5bb3-4ff6-8b26-0b21f5e691ad
152.932464005024855,-27.082591058720251,63,CAB_076,Open,Flooded,Bellmere Road,at Wararba Creek,BELLMERE,2020-02-26T05:00:00.000Z,no,"Bellmere Road at Wararba Creek, BELLMERE",DWCP,48c97555-d052-47d8-94e2-20b6f39648a5
152.988434229606355,-27.288612616425201,64,LPR_049,Open,Flooded,Paisley Drive,at Lucy Street,LAWNTON,2020-02-26T05:00:00.000Z,no,"Paisley Drive at Lucy Street, LAWNTON",DWCP,5822ae57-97ef-42cf-ba74-1fa9beeec5c2
152.819730915692816,-27.193201675553656,65,UPR_040,Open,Flooded,McKenzie Street,at Tullamore Park,DAYBORO,2020-02-26T05:00:00.000Z,no,"McKenzie Street at Tullamore Park, DAYBORO",DWCP,26c93ad8-1202-4ffb-8c26-cac1b1a77043
153.100701428377533,-27.221171394473902,66,RED_002,Open,Flooded,Klingner Road,at Hodges Street,REDCLIFFE,2020-02-26T05:00:00.000Z,no,"Klingner Road at Hodges Street, REDCLIFFE",DWCP,80a59ed4-7e64-4c99-950b-f6ae32f14a88
152.746638322095606,-27.193703416604141,67,UPR_042,Open,Flooded,Costelloe Road,at Upper Crossing,LACEYS CREEK,2020-02-26T05:00:00.000Z,no,"Costelloe Road at Upper Crossing, LACEYS CREEK",DWCP,2c600ec0-f01f-4b5d-93fe-0f702f3f2215
153.112129725353611,-27.227755352165403,68,RED_004,Open,Flooded,Mcnaughton Street,at Humpybong Esplanade,REDCLIFFE,2020-02-26T05:00:00.000Z,no,"Mcnaughton Street at Humpybong Esplanade, REDCLIFFE",DWCP,cc85bc86-743f-4a70-b998-eaafa653cfb8
152.990271779334108,-27.222067060905655,69,HAY_019,Open,Flooded,Old Gympie Road,at Hughes Road East,DAKABIN,2020-02-26T05:00:00.000Z,no,"Old Gympie Road at Hughes Road East, DAKABIN",DWCP,f00c855d-7f60-4980-8f6d-dc295d1655b8
153.043486966160629,-27.242590742495601,70,HAY_015,Open,Flooded,Richard Road, ,MANGO HILL,2020-02-26T05:00:00.000Z,no,"Richard Road, MANGO HILL",DWCP,fd8885a0-c7e6-4dc2-b1a5-5dee8850bff2
153.093506672146844,-27.220331683727782,71,RED_001,Open,Flooded,Klingner Road,at Walkers Creek,KIPPA-RING,2020-02-26T05:00:00.000Z,no,Klingner Road,DWCP,3003b01a-d74d-428a-b1fb-6d4b5414a36e
153.09092987900874,-27.246502788869538,72,RED_003,Open,Flooded,Maine Road,at Lucinda Street,CLONTARF,2020-02-26T05:00:00.000Z,no,"Maine Road at Lucinda Street, CLONTARF",DWCP,058aaa34-e67b-45eb-916c-c4673f5ba0ad
153.079911182361286,-27.248691507007589,73,HAY_018,Open,Flooded,Silcock Street, ,CLONTARF,2020-02-26T05:00:00.000Z,no,"Silcock Street, CLONTARF",DWCP,d0f6e44c-98ad-4baf-a51e-e4fcae9de9d3
153.018999654185251,-27.274333543516789,74,LPR_066,Open,Flooded,Wagner Road,,GRIFFIN,2020-02-26T05:00:00.000Z,no,Wagner Road,DWCP,834b8af3-6970-42db-aabf-c6ffbbd9ea12
152.97134477306605,-27.121992810897716,75,CAB_007,Open,Flooded,Grogan Road, ,MORAYFIELD,2020-02-26T05:00:00.000Z,no,Grogan Road,DWCP,7daf0063-13d5-4849-b478-dded9163d6c7
152.816018627781176,-27.044073049322332,76,CAB_026,Open,Flooded,Whiting Road, ,WAMURAN BASIN,2020-02-26T05:00:00.000Z,no,"Whiting Road, WAMURAN BASIN",DWCP,252a4c30-1282-4b7e-97e3-13fb817c12d9
153.032881587968717,-27.193096947292808,77,BUR_018,Open,Flooded,Maine Terrace,at Little Street,DECEPTION BAY,2020-02-26T05:00:00.000Z,no,"Maine Terrace at Little Street, DECEPTION BAY",DWCP,69d305aa-c46f-4c84-a937-ffe1d68e4e4d
152.851643236479362,-27.293922998121385,78,UPR_038,Open,Flooded,Winn Road,at Andrew Road,MOUNT SAMSON,2020-02-26T05:00:00.000Z,no,Winn Road,DWCP,adcd3d84-1b7b-45aa-9ac2-692d5d18c6ce
152.992086424717002,-27.089246924761149,79,CAB_009,Open,Flooded,Hickey Road, ,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"Hickey Road, CABOOLTURE",DWCP,90c3f8fe-6ab0-4647-a32f-4ad24f8df11f
152.972636489359161,-27.058216233359015,80,CAB_012,Open,Flooded,Male Road, ,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"Male Road, CABOOLTURE",DWCP,410828a9-ea2e-4dcf-a067-2b6add9325bd
152.849532451581496,-27.035252866292055,81,CAB_057,Open,Flooded,R Williams Road,near D'Aguilar Highway,WAMURAN,2020-02-26T05:00:00.000Z,no,"R Williams Road near D'Aguilar Highway, WAMURAN",DWCP,41a70ac2-d81c-4b61-8211-fa0a7c50b5d3
152.888010562373069,-26.986391412615426,82,PUM_013,Open,Flooded,Scurr Road,near Atkinson Road,WAMURAN,2020-02-26T05:00:00.000Z,no,"Scurr Road near Atkinson Road, WAMURAN",DWCP,93b17bf7-c454-4145-af03-f710a4af3999
152.891877013763832,-26.990550778176097,83,PUM_015,Open,Flooded,Powell Road,at Scurr Road,WAMURAN,2020-02-26T05:00:00.000Z,no,Powell Road,DWCP,bdeb8183-4493-4e46-8522-c73d3d8a58f8
152.908353354851386,-27.224304004759134,84,SID_018,Open,Flooded,Theodore Road,,KURWONGBAH,2020-02-26T05:00:00.000Z,no,Theodore Road,DWCP,18e0d7eb-c3f5-466b-9a11-c990142a739d
152.976078328674703,-27.153643856659599,85,BUR_047,Open,Flooded,Station Road,intersection with Morayfield Road,BURPENGARY,2020-02-26T05:00:00.000Z,no,Station Road,DWCP,dd02a25f-0eec-4979-9ac9-7cf2e8e367c8
152.96012252356519,-27.074758589327324,86,CAB_021,Open,Flooded,Tallon Street, ,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"Tallon Street, CABOOLTURE",DWCP,1cab5b4b-61cc-44a9-8f96-1224736e2033
152.862808986440513,-27.171525690394496,87,BUR_050,Open,Flooded,Moorina Road ,at Burpengary Creek,NARANGBA,2020-03-10T19:00:00.000Z,no,"Moorina Road at Burpengary Creek, NARANGBA",DWCP,bb70a7b7-3179-4c95-885e-33ee5df375c5
152.951740168477556,-27.105003280284198,88,CAB_081,Open,Flooded,Underpass Road,near William Berry Drive,MORAYFIELD,2020-03-09T22:50:00.000Z,no,Underpass Road,DWCP,c7b9a744-6c07-4066-aa54-d55a11497354
152.894425257543816,-27.013877486764542,89,PUM_004,Open,Flooded,King Road,near Powell Road,WAMURAN,2020-02-26T05:00:00.000Z,no,King Road,DWCP,1a96621a-ede2-40de-b7f3-4089cbfec6a4
152.887885977721282,-27.009100450904466,90,PUM_007,Open,Flooded,Powell Road,near King Road,WAMURAN,2020-02-26T05:00:00.000Z,no,Powell Road,DWCP,60f74a69-1580-44b4-b711-f6c1871c7ff8
152.911144741137747,-27.031146161556808,91,CAB_063,Open,Flooded,Markwell Road,near Alcock Road,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"Markwell Road near Alcock Road, CABOOLTURE",DWCP,6113f093-a60d-4558-ba8b-0d5ee082d0b1
152.99128554340362,-27.227954658110235,92,HAY_027,Open,Flooded,Alma Road,at intersection with Old Gympie Road,DAKABIN,2020-02-26T05:00:00.000Z,no,"Alma Road at intersection with Old Gympie Road, DAKABIN",DWCP,c66e0052-99d3-4c1e-aa2f-e6a307b0200b
152.961256706798451,-27.086185838370344,93,CAB_028,Open,Flooded,William Street, ,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"William Street, CABOOLTURE",DWCP,1712b4e2-463d-462b-a912-c5146a121511
152.96160892903481,-27.07941612705087,94,CAB_040,Open,Flooded,McKean Street,at Manley Street,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"McKean Street at Manley Street, CABOOLTURE",DWCP,f73053ef-101e-40cc-bb00-dddf24f442df
152.981533995922888,-27.079583989879836,95,CAB_051,Open,Flooded,Aerodome Road, ,CABOOLTURE,2020-02-26T05:00:00.000Z,no,"Aerodome Road, CABOOLTURE",DWCP,1f522adf-f55c-4e3a-88c9-6cb8f2a53c53
152.808138986096168,-27.206219759683677,96,UPR_036,Open,Flooded,Glover Road,at Juffs Road West,DAYBORO,2020-02-26T05:00:00.000Z,no,Glover Road,DWCP,f60985e9-b242-434f-9201-33953277ed56
152.943617801104466,-27.086969264728705,97,CAB_093,Open,Flooded,Stringfellow Road,at Bowls Club entrance to Centenary Lakes,CABOOLTURE,2020-02-26T05:00:00.000Z,no,Stringfellow Road,DWCP,553340cf-617c-4fad-b2ce-1cf98cabd397
153.159622910619873,-27.075889073879779,98,BRI_012,Open,Flooded,Kangaroo Avenue,,BONGAREE,2020-02-26T05:00:00.000Z,no,Kangaroo Avenue,DWCP,cc0f1d2f-5814-4a69-8cbe-07f6a1addb5a
152.92821517136025,-27.25621244307159,99,LPR_075,Open,Flooded,Whiteside Road,from 55 to 73,WHITESIDE,2020-02-26T05:00:00.000Z,no,Whiteside Road,DWCP,e355ed71-7e90-4c7e-91af-fd66291eea56
152.964325307791569,-27.026180870087913,100,PUM_005,Open,Flooded,Mansfield Road,near Bigmor Drive,ELIMBAH,2020-02-26T05:00:00.000Z,no,Mansfield Road,DWCP,47b2b3c8-6145-4ff9-b594-b37c8c852bd0
152.819611559235938,-27.291787180884658,101,UPR_045,Open,Flooded,Basin Road,close to 365 Basin Road Entrance,SAMSONVALE,2020-02-26T05:00:00.000Z,no,"Basin Road close to 365 Basin Road Entrance, SAMSONVALE",DWCP,f860be3e-0ace-499a-b8b9-7e9464e5ef28
153.051064110055222,-27.0372878251465,102,PUM_012,Open,Flooded,Volz Road, ,TOORBUL,2020-02-26T05:00:00.000Z,no,"Volz Road, TOORBUL",DWCP,b43ea511-fafe-4395-a7e0-3d18bbe890db
152.7688389392776,-27.350967694218408,103,LPR_072,Open,Flooded,Mount Nebo Road,at intersection with Mount Glorious Road,MOUNT NEBO,2020-02-26T05:00:00.000Z,no,"Mount Nebo Road at intersection with Mount Glorious (PEI) Road, MOUNT NEBO",DWCP,a75fe44c-661c-488a-a955-094873b83e74
152.939736579613822,-27.099962384670555,104,CAB_011,Open,Flooded,Macadamia Street, ,CABOOLTURE SOUTH,2020-02-26T05:00:00.000Z,no,"Macadamia Street, CABOOLTURE SOUTH",DWCP,c5caffdf-2ccf-49cc-9366-e88027348b70
152.966586368259925,-27.162821843803446,105,BUR_007,Open,Flooded,Henderson Road,at Rossini Street,BURPENGARY,2020-02-26T05:00:00.000Z,no,Henderson Road,DWCP,d1dde71c-1720-493f-81d7-ab39bc4b4013
152.934043121123437,-27.160310670459701,106,BUR_010,Open,Flooded,Rowley Road,at Facer Road,BURPENGARY,2020-02-26T05:00:00.000Z,no,"Rowley Road at Facer Road, BURPENGARY",DWCP,4872fc11-a8f4-4db6-b518-e15bcc7eadf7
153.042267926269005,-27.091196192499474,107,CAB_067,Open,Flooded,Browns Road, ,NINGI,2020-02-26T05:00:00.000Z,no,"Browns Road, NINGI",DWCP,2330f80d-bf72-463a-a35e-2a6fcfef3f1c
152.970309510515136,-27.040672064490842,108,CAB_072,Open,Flooded,Morris Road,at Bigmor Drive,ELIMBAH,2020-02-26T05:00:00.000Z,no,"Morris Road at Bigmor Drive, ELIMBAH",DWCP,3b540418-b760-4eb0-87c7-9a6102b32abe
152.89782875676309,-27.183752242488556,109,SID_015,Open,Flooded,Raynbird Road,near Alf Dobson Road,NARANGBA,2020-02-26T05:00:00.000Z,no,"Raynbird Road near Alf Dobson Road, NARANGBA",DWCP,d93462e7-bd62-4ad3-876a-1c04ef1b9c86
152.926236222315367,-26.990596548356852,110,PUM_014,Open,Flooded,McDougall Road, ,ELIMBAH,2020-02-26T05:00:00.000Z,no,"McDougall Road, ELIMBAH",DWCP,6fd701d0-9100-4c58-b0b0-f02cfd126cb2
152.746101452949091,-26.951107426538467,111,STA_016,Open,Flooded,Neurum Road,near Walker Lane,WOODFORD,2020-02-26T05:00:00.000Z,no,"Neurum Road near Walker Lane, WOODFORD",DWCP,3141582c-d1f1-438f-be3a-ad2ec51e2218
152.842816374327981,-27.112308458689402,112,CAB_044,Open,Flooded,Caboolture River Road,at Cockies Crossing,ROCKSBERG,2020-03-09T11:30:00.000Z,no,Caboolture River Road,DWCP,9dc273fb-63a0-4628-9277-badd843ac390
